RAGA,THAAT,TIME,AAROHA,AVAROHA,VADI,SAMVADI,PAKAD,JATI
Aarabhi,Bilaval,6,"S,R,m,P,D,S'","S',N,D,P,m,G,R,S",1,2,'D S R m G R S 'N 'D S,Audav-Sampurna
Abhogi,Kafi,6,"S,R,g,m,D,S'","S',D,m,g,R,S",2,1,'D S R g m R g m R S,Audav-Audav
Adana,Asavari,7,"S,R,g,M,P,n,P,S'","S',d,n,P,g,M,R,s",1,2,S d n S' d n P M P g M R s,Audav-Sampurna
Ahir Bhairav,Bhairav,1,"S,r,G,m,P,D,n,S'","S',n,D,P,m,G,r,S",2,1,S r G M G M r ṇ Ḍ ṇ r S,Sampurna-Sampurna
Ahiri,Bhairavi,1,"S,r,g,m,P,D,n,S'","S',N,D,P,m,G,R,S",2,1,P D n D m g r g S,Sampurna-Sampurna
Alhaiya Bilaval,Bilaval,2,"S,G,R,G,P,N,D,N,S'","S',N,D,n,D,P,M,G,M,R,S",4,3,G R P D N S,Sampurna
Amritavarshini,Kalyaan,5,"S,G,M,P,N,S'","S',N,P,M,G,S",2,1,G M P N S' N P M P G M P,Audav-Audav
Asavari,Asavari,2,"S,R,m,P,d,S'","S',n,D,P,m,G,r,S",3,4,R m P n D P,Audav-Sampurna
Asavari sindhura,Asavari,2,"S,R,m,P,D,S'","S',n,D,P,d,m,P,g,R,m,m,g,S,R,S",1,2,m P D S' n d P D m P D S',Audav-Sampurna
Anandbhairavi,Bhairavi,1,"S,r,G,m,P,m,P,D,N,S'","S',D,n,P,m,G,m,r,S",2,1,r G m P S' D n P m G m r,Audav-Sampurna
Bageshri,Kafi,7,"N,S,g,m,D,n,S","S',n,D,m,P,D,g,m,g,R,S",2,1,D n s m m P D m g R S,Audav-Sampurna
Bahar,Kafi,7,"n,S,m,m,P,g,m,n,D,N,S","S',n,P,m,P,g,m,R,S",2,1,S m m P g m n D N S',Shadav-Shadav
Barari,Marva,5,"S,'N,r,G,r,G,P,M,D,S","S',N,r,N,D,M,G,P,G,r,S",3,4,S P G r G P M D S' r' N D P G r S,Shadav-Sampoorna
Basant,Poorvi,8,"S,G,M,d,r',S'","S',N,d,P,M,G,M,G,r,S",1,2,M d r' S' N d P M G M G,Audav-Sampurna
Bahar basanth,Poorvi,7,"S,m,m,P,g,m,n,D,N,S'","S',N,d,P,M,G,M,G,M,G,r,S",1,2,S m P g m n D N S' N d S' N d P M G M G M G r S,mishra/Sankeerna
Bangalbhairav,Bhairav,1,"S,r,G,m,P,d,S'","S',d,P,m,P,G,m,r,S",3,6,S 'd S S r d d P G m r s,Shadav-Shadav
Barva,Kafi,3,"S,R,m,P,D,N,S'","S',n,D,P,m,P,g,R,g,S",1,2,G R g S N' S R m P D m G R g S,Audav-Sampurna
Badhans,Khamaj,3,"S,R,m,R,m,P,N,S'","S,n,P,m,P,m,R,R,'N,S",5,2,S R m n P m R m 'N R S,Audav-Shadav
Bhairav,Bhairav,1,"S,G,m,P,G,m,d,S'","S',N,S',d,P,G,m,P,G,m,r,S",3,6,S G m P G m d P G m P G m r S,Sampurna
Bhairavi,Bhairavi,1,"S,r,g,m,P,d,n,S'","S',n,d,P,m,g,r,S",2,1,n S g m d P g m P g m r S,Sampurna
Bhatiyar,Bhairav,8,"S,r,S,S,m,P,G,M,D,S'","S',r',N,D,P,D,P,m,P,G,r,S",2,1,S D m P G P G r S,Sampurna-Sampurna
Bhankar,Bhairav,8,"N,r,S,G,m,P,G,M,D,M,G,M,D,S,N,r',S'","S',r',N,D,M,m,G,m,G,r,S",2,1,S' r' N D M m G m r S,Sampurna
Bhim,Kafi,3,"S,G,m,P,n,S'","g',R',S',n,D,m,D,m,G,R,S",1,2,n S' g' R' S' n D m G R S,Audav-Sampurna
Bhimpalasi,Kafi,3,"N,S,g,m,P,n,S'","S',n,D,P,m,g,R,S",2,1,N S g m P g m g R n S,Audav-Sampurna
Bhoopal-Todi,Bhairavi,1,"S,r,g,P,d,S","S,d,P,g,r,S",3,4,S r d S r g r S,Audav-Audav
Bhoopali,Kalyaan,6,"S,R,G,P,D,S'","S',D,P,G,R,S",3,4,S G R S‘ D S R G,Audav-Audav
Bibhas,Marva,1,"S,r,G,P,d,S'","S',d,P,G,r,S",3,3,G P d G P G r S,Audav-Audav
Bihag,Bilaval,7,"N,S,G,m,P,N,S","S',N,D,P,M,P,G,m,G,R,S",3,6,P G m G R S,Audav-Shadav
Bihagda,Bilaval,6,"N,S,G,m,P,N,S'","S',N,D,P,n,D,P,D,G,m,G,R,S",3,6,n D P D G m G R S,Audav-Sampurna
Bilaskhani Todi,Bhairavi,1,"S,r,G,P,d,S'","S',r',n,d,m,g,r,g,r,S",3,4,S' r' n d g P d n d m g r g r S,Audav-Sampurna
Bhup,Kalyaan,5,"S,R,G,P,D,S'","S',D,P,G,R,S",3,4,S R G R G R G R P G R G S R 'D S,Audav-Audav
Brindabani Sarang,Kafi,3,"N,S,R,m,P,N,S'","S,n,P,m,R,N',S",5,2,n P m R m R 'N S,Audav-Audav
Chandrakauns,Bhairavi,7,"S,g,m,d,N,S'","S',R',S',N,d,m,g,S",2,1,g m g 'N g S,Audav-Audav
Chandrakanth,Kalyaan,6,"S,R,G,P,D,N,S'","S',N,D,P,M,G,R,S",3,6,G M P D P M G R S,Shadav-Sampoorna
"Chandni,Kedar",Kalyaan,6,"S,m,M,M,P,D,N,S'","S',N,D,P,D,P,M,m,R,S",2,1,D N D P D P M m R S,Audav-Shadav
Chhayanat,Kalyaan,6,"S,R,G,m,P,R,G,m,D,P,P,S',N,S'","R',S',N,D,P,R,G,M,R,S",5,2,P R G m P m G m R S,Shadav-Sampoorna
Darbari Kanada,Asavari,6,"S,r,g,m,P,d,n,S'","R',n,S',d,n,P,m,P,g,m,R,S",5,2,S R g R S 'd 'n R S,Sampurna-Sampurna
Desi,Asavari,2,"S,R,m,P,m,P,n,S'","S',P,D,P,d,m,P,R,g,S,R,'n,S",2,5,P D m P g r S r 'n S,Audav-Sampurna
Desh,Khamaj,7,"N,S,R,m,P,N,S'","N,S',R',n,D,P,D,m,G,R,G,'N,S",5,2,R m P n D P D m G R G 'N S,Audav-Sampurna
Deshkar,Bilaval,2,"S,R,G,P,D,S'","S',D,P,D,P,G,R,'D,S",4,3,S D P D S' D P D G P G P D P G R S R' D S,Audav-Audav
Devagiribilaval,Bilaval,1,"S,R,G,P,N,D,N,S","S,N,D,P,P,m,G,R,'N,R,'N,R,G,m,G,G,R,S",1,2,G m G R 'N R 'N G G R 'N S,Shadav-Sampoorna
Devaranjani,Bhairav,1,"S,m,m,P,d,N,S'","S',N,d,n,P,d,m,n,S",2,1,S m m P d N S' d P m S,Audav-Audav
Devgiri,Bilaval,1,"S,R,G,P,N,D,N,S'","S,N,D,P,P,m,G,R,N',R,N',R,G,m,G,G,R,S",1,2,G m G R 'N R 'N G G R 'N S,Shadav-Sampoorna
Dev gandhar,Asavari,2,"S,R,m,P,d,m,P,d,n,S'","S',n,d,P,m,P,g,R,S,R,n,S,R,G,m,P,g,R,S",3,3,m P d m P g R S R n S R G m,Shadav-Sampoorna
Deepak Kedar,Kalyaan,5,"S,R,M,P,D,P,S'","S',N,P,M,P,m,R,S",2,1,S R M P D P m R S,Audav-Audav
Dhanabasanti,Poorvi,5,"S,G,M,d,N,S","S,N,d,P,M,G,M,G,G,M,r,G,M,G,r,S",2,1,M d S N d P M G M G G M r G M G r S S m G M d N S,Audav-Sampurna
Dhanashree,Kafi,4,"n,S,g,m,P,n,S'","S',n,D,P,m,g,R,S",2,1,'n S g m P g m g R n S,Audav-Sampurna
